序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,873706,铁拓机械,19.98,29.99,4.61,156551.0,292395400.83,29.6,19.98,15.43,15.43,15.37,3.36,61.01,31.04,3.38,1846256795.0,512701685.0,0.0,0.0,18.09,62.7
2,300175,朗源股份,6.53,20.04,1.09,726204.0,456395942.29,18.57,6.53,5.52,5.52,5.44,6.04,15.42,-77.65,5.43,3074324000.0,3074324000.0,0.0,0.0,-6.45,18.3
3,300103,达刚控股,7.55,20.03,1.26,316846.0,229436403.19,20.03,7.55,6.29,6.3,6.29,6.96,9.98,-65.1,3.99,2397887550.0,2395906030.0,0.0,0.0,4.14,20.03
4,300126,锐奇股份,8.27,20.03,1.38,384761.0,289227450.5,24.38,8.27,6.59,6.89,6.89,1.91,18.28,-120.57,2.36,2513729352.0,1740276188.0,0.0,0.0,35.8,61.21
5,688379,华光新材,28.37,20.01,4.73,39370.0,105982291.0,18.4,28.37,24.02,24.02,23.64,1.65,4.37,24.38,2.57,2555726202.0,2555726202.0,0.0,0.0,20.36,38.93
6,688165,埃夫特-U,38.28,20.0,6.38,563955.0,2020187004.0,17.96,38.28,32.55,32.67,31.9,1.46,10.81,-142.09,11.77,19973738400.0,19973738400.0,0.0,0.0,169.58,45.0
7,301382,蜂助手,47.64,20.0,7.94,372418.0,1551668608.36,25.04,47.64,37.7,39.39,39.7,2.11,27.27,85.9,6.12,10499164744.0,6506653335.0,0.0,0.0,76.51,79.64
8,300918,南山智尚,19.2,20.0,3.2,265536.0,497925815.83,6.88,19.2,18.1,18.9,16.0,0.67,6.95,44.14,3.39,7332149818.0,7332149818.0,0.0,0.0,66.96,86.23
9,300148,天舟文化,5.1,20.0,0.85,2187191.0,1049429329.9,21.41,5.1,4.19,4.22,4.25,3.05,27.28,152.43,4.49,4260230649.0,4088309609.0,0.0,0.0,19.44,40.5
10,301281,科源制药,35.89,19.99,5.98,113779.0,376920115.05,20.8,35.89,29.67,29.8,29.91,5.44,16.53,73.45,2.91,3886528100.0,2471098280.0,0.0,0.0,-3.55,19.99
11,301139,元道通信,31.82,19.98,5.3,203090.0,611175180.64,19.42,31.82,26.67,26.9,26.52,3.08,28.32,62.13,1.99,3868701056.0,2282194613.0,0.0,0.0,30.73,39.87
12,300074,华平股份,5.83,19.96,0.97,735689.0,412764697.04,21.19,5.83,4.8,4.87,4.86,1.48,13.8,-39.54,3.07,3118172585.0,3108036366.0,0.0,0.0,19.71,46.48
13,300159,新研股份,2.89,19.92,0.48,2686217.0,748490086.79,13.28,2.89,2.57,2.57,2.41,2.54,18.25,-18.29,-32.14,4340681517.0,4253615297.0,0.0,0.0,-24.54,4.71
14,301202,朗威股份,58.1,18.52,9.08,236236.0,1298787467.31,17.67,58.82,50.16,51.25,49.02,2.37,63.54,106.92,6.69,7924840000.0,2160158000.0,-0.15,-0.34,54.32,24.44
15,300500,启迪设计,12.63,17.16,1.85,180420.0,215693939.57,20.22,12.9,10.72,10.77,10.78,4.43,10.77,-96.27,1.85,2197302595.0,2116762172.0,0.0,-1.17,0.64,19.04
16,301336,趣睡科技,88.01,15.8,12.01,83409.0,652497563.87,30.49,91.2,68.03,70.68,76.0,2.05,32.4,138.5,4.39,3520400000.0,2265960378.0,-1.12,0.72,148.55,63.01
17,300873,海晨股份,22.1,14.98,2.88,353307.0,763630604.23,14.1,22.99,20.28,20.7,19.22,6.13,20.88,17.52,1.73,5096299316.0,3740197039.0,-0.23,-0.41,24.44,30.69
18,688388,嘉元科技,19.05,14.83,2.46,292424.0,528647909.0,17.42,19.35,16.46,16.46,16.59,3.34,6.86,-42.29,1.19,8119839234.0,8119839234.0,0.37,0.32,26.75,29.33
19,300153,科泰电源,32.99,14.15,4.09,635812.0,2053818435.22,15.47,34.48,30.01,31.0,28.9,1.15,19.97,316.26,12.29,10556800000.0,10501710593.0,0.24,2.1,293.68,108.4
20,688091,上海谊众,39.49,13.54,4.71,75774.0,288534852.0,19.58,41.0,34.19,35.08,34.78,3.68,3.67,176.48,5.58,8158209088.0,8158209088.0,0.0,-0.08,-8.78,-1.08
21,688356,键凯科技,66.41,13.33,7.81,37908.0,246922042.0,19.66,70.32,58.8,59.0,58.6,4.82,6.25,92.51,3.17,4027812987.0,4027812987.0,0.02,0.09,11.24,16.63
22,688327,云从科技-UW,19.45,13.08,2.25,2055256.0,3999460318.0,17.03,20.64,17.71,18.5,17.2,2.18,27.33,-29.74,15.76,20168459407.0,14626572327.0,-0.15,-0.56,50.89,60.74
23,300475,香农芯创,36.99,13.05,4.27,1129704.0,3996800834.14,15.71,38.35,33.21,34.68,32.72,3.23,25.66,34.84,5.73,16925357721.0,16284505971.0,0.11,0.33,20.69,29.84
24,301397,溯联股份,42.28,12.57,4.72,97668.0,397626890.3,15.92,42.98,37.0,37.01,37.56,1.91,17.81,35.03,2.62,5071159006.0,2318857846.0,-0.07,0.52,48.66,64.19
25,300313,ST天山,5.88,12.21,0.64,154539.0,90300326.0,15.27,6.1,5.3,5.3,5.24,5.16,7.83,-33.15,89.6,1840307088.0,1160434399.0,0.17,0.17,-10.91,1.38
26,688722,同益中,16.45,11.98,1.76,249990.0,409735241.0,14.09,17.17,15.1,15.1,14.69,2.28,11.16,34.01,2.86,3695767215.0,3686530540.0,-0.12,0.43,20.87,29.02
27,831010,凯添燃气,11.21,11.88,1.19,280442.0,310680137.09,27.94,12.8,10.0,10.39,10.02,1.77,16.15,51.52,3.95,2628745000.0,1946819435.0,0.09,-0.09,-5.4,27.24
28,301448,开创电气,24.3,11.78,2.56,101654.0,242358365.05,17.89,25.5,21.61,21.74,21.74,6.72,21.25,34.59,3.62,2527200000.0,1162512000.0,-0.33,-0.53,8.72,18.19
29,300521,爱司凯,22.06,11.25,2.23,129674.0,277656993.11,16.34,22.77,19.53,19.75,19.83,2.78,9.01,-248.03,6.59,3176640000.0,3176619153.0,0.0,0.23,14.42,7.87
30,301109,军信股份,18.9,11.05,1.88,180937.0,331599926.66,12.16,19.01,16.94,16.95,17.02,7.76,18.34,19.63,1.43,10652861375.0,1864500706.0,0.05,0.21,11.31,13.31
31,836077,吉林碳谷,12.92,10.81,1.26,139007.0,178892140.11,20.58,13.96,11.56,11.6,11.66,2.99,4.39,70.71,3.11,7592849076.0,4095082076.0,-0.15,0.62,-7.85,15.77
32,300310,宜通世纪,8.96,10.75,0.87,1882915.0,1642886350.6,17.43,9.48,8.07,8.27,8.09,2.58,27.22,243.6,4.07,7899660438.0,6197994396.0,0.0,-0.22,-19.71,18.52
33,301228,实朴检测,17.6,10.69,1.7,112258.0,192084279.0,11.45,17.78,15.96,15.96,15.9,2.46,9.37,-41.98,2.82,2112000000.0,2107670400.0,-0.23,-0.23,27.54,33.03
34,300727,润禾材料,42.52,10.5,4.04,126280.0,524190016.04,11.12,43.5,39.22,39.22,38.48,1.56,11.06,58.41,6.04,5443688693.0,4856335782.0,-0.02,0.07,50.78,26.02
35,688280,精进电动-UW,5.52,10.4,0.52,295739.0,157349291.0,15.4,5.68,4.91,4.99,5.0,4.84,6.43,-6.32,5.16,3258023602.0,2537323454.0,0.0,0.73,1.47,25.74
36,688143,长盈通,35.61,10.25,3.31,83752.0,283780231.0,14.24,36.3,31.7,32.2,32.3,1.13,8.86,-884.58,3.8,4357753310.0,3365948931.0,-0.25,-0.5,49.37,61.72
37,002321,华英农业,2.71,10.16,0.25,449892.0,120100157.95,5.28,2.71,2.58,2.6,2.46,0.99,2.12,132.17,6.01,5780132092.0,5756614748.0,0.0,0.0,22.62,13.39
38,002501,利源股份,2.28,10.14,0.21,307641.0,70142148.0,0.0,2.28,2.28,2.28,2.07,0.18,0.87,-52.07,8.5,8094000000.0,8093997734.0,0.0,0.0,34.12,42.5
39,002498,汉缆股份,3.59,10.12,0.33,1030546.0,358539549.74,10.74,3.59,3.24,3.24,3.26,4.74,3.1,15.4,1.47,11943197640.0,11943197640.0,0.0,0.0,3.76,5.9
40,002515,金字火腿,4.68,10.12,0.43,933551.0,426873493.03,9.88,4.68,4.26,4.26,4.25,5.93,8.25,142.36,2.19,5665674288.0,5295997016.0,0.0,0.0,-6.02,3.31
41,600179,安通控股,2.83,10.12,0.26,806369.0,219440396.0,10.89,2.83,2.55,2.57,2.57,3.15,2.16,55.71,1.16,11975221351.0,10567889281.0,0.0,0.0,-4.07,0.0
42,000892,欢瑞世纪,4.25,10.1,0.39,216748.0,92117904.25,0.0,4.25,4.25,4.25,3.86,0.35,3.05,-57.97,3.91,4169167010.0,3021054930.0,0.0,0.0,21.43,30.37
43,002225,濮耐股份,5.89,10.09,0.54,515032.0,291134067.81,9.53,5.89,5.38,5.39,5.35,1.5,6.24,36.32,1.77,5951363357.0,4862455132.0,0.0,0.0,38.92,18.51
44,600589,大位科技,5.24,10.08,0.48,267044.0,139930967.0,0.0,5.24,5.24,5.24,4.76,0.21,1.81,-208.96,12.78,7747182224.0,7747182224.0,0.0,0.0,21.02,14.41
45,002928,华夏航空,7.32,10.08,0.67,409007.0,284697708.08,10.08,7.32,6.65,6.67,6.65,2.77,3.2,22.89,2.76,9356728146.0,9356728146.0,0.0,0.0,-14.69,-5.67
46,600965,福成股份,4.7,10.07,0.43,111331.0,51149857.0,7.03,4.7,4.4,4.42,4.27,1.03,1.36,99.73,1.81,3847894489.0,3847894489.0,0.0,0.0,10.85,7.31
47,835174,五新隧装,32.41,10.05,2.96,91768.0,291366004.81,18.0,34.56,29.26,29.46,29.45,2.55,10.58,23.29,3.88,2917182550.0,2810112680.0,0.0,-0.28,14.08,12.18
48,600203,福日电子,11.06,10.05,1.01,855908.0,893579180.0,13.43,11.06,9.71,10.06,10.05,1.96,14.43,-36.69,3.44,6558448187.0,6558448187.0,0.0,0.0,-13.19,23.44
49,002414,高德红外,8.98,10.05,0.82,1743970.0,1513778145.47,7.6,8.98,8.36,8.74,8.16,2.14,5.13,572.84,5.63,38351210250.0,30519539630.0,0.0,0.0,9.25,20.86
50,002369,卓翼科技,11.39,10.05,1.04,1008915.0,1126528414.28,5.8,11.39,10.79,10.88,10.35,1.35,17.84,-39.05,11.53,6457632029.0,6442760391.0,0.0,0.0,76.59,79.09
51,600590,泰豪科技,9.2,10.05,0.84,138151.0,127098837.0,0.0,9.2,9.2,9.2,8.36,0.15,1.64,-29.4,2.4,7846401700.0,7760839612.0,0.0,0.0,70.06,69.74
52,603118,共进股份,12.05,10.05,1.1,395305.0,472643969.0,3.56,12.05,11.66,12.05,10.95,0.76,5.02,519.43,1.88,9486680692.0,9486680692.0,0.0,0.0,42.6,35.39
53,000065,北方国际,12.38,10.04,1.13,410789.0,497995662.69,6.04,12.38,11.7,11.7,11.25,0.63,4.42,12.56,1.4,12689263492.0,11495539498.0,0.0,0.0,10.34,26.58
54,603789,星光农机,8.66,10.04,0.79,120723.0,104520201.0,2.03,8.66,8.5,8.66,7.87,0.41,4.64,-22.3,6.81,2342109124.0,2251600000.0,0.0,0.0,1.29,12.03
55,002522,浙江众成,6.03,10.04,0.55,1554279.0,935917139.98,3.1,6.03,5.86,6.03,5.48,6.81,17.89,91.87,2.43,5461849704.0,5239718252.0,0.0,0.0,40.89,54.22
56,600376,首开股份,3.07,10.04,0.28,1760041.0,529024335.0,10.75,3.07,2.77,2.84,2.79,2.39,6.82,-1.39,0.58,7919265293.0,7919265293.0,0.0,0.0,4.78,16.73
57,600173,卧龙地产,6.14,10.04,0.56,252724.0,149689915.0,10.75,6.14,5.54,5.56,5.58,1.14,3.61,29.84,1.12,4301108338.0,4300555738.0,0.0,0.0,41.8,55.05
58,002910,庄园牧场,9.87,10.03,0.9,70753.0,69833556.45,0.0,9.87,9.87,9.87,8.97,0.69,4.14,-12.23,1.7,1929973355.0,1688381447.0,0.0,0.0,16.12,31.08
59,000816,智慧农业,4.17,10.03,0.38,307193.0,128099447.64,0.0,4.17,4.17,4.17,3.79,0.15,2.14,145.02,2.81,6034045536.0,5990263055.0,0.0,0.0,55.02,38.08
60,603085,天成自控,13.06,10.03,1.19,152650.0,194557812.0,10.03,13.06,11.87,11.97,11.87,0.38,4.12,148.18,5.78,5186126000.0,4835144168.0,0.0,0.0,38.05,20.37
61,002527,新时达,18.0,10.02,1.64,83277.0,149898690.0,0.0,18.0,18.0,18.0,16.36,1.92,1.57,-211.3,7.99,11935103238.0,9525249576.0,0.0,0.0,111.27,105.01
62,000949,新乡化纤,4.5,10.02,0.41,1471175.0,645422267.19,9.54,4.5,4.11,4.12,4.09,3.39,8.65,28.8,1.19,7651484649.0,7649431542.0,0.0,0.0,-7.6,12.22
63,002051,中工国际,9.44,10.02,0.86,841832.0,773401869.82,8.16,9.44,8.74,8.9,8.58,2.03,6.8,32.39,1.02,11681140365.0,11680117164.0,0.0,0.0,8.38,15.69
64,600302,标准股份,5.49,10.02,0.5,152562.0,79057403.0,11.42,5.49,4.92,5.02,4.99,2.66,4.41,-29.88,2.52,1899593824.0,1899593824.0,0.0,0.0,0.73,14.14
65,002361,神剑股份,5.71,10.02,0.52,631918.0,352810083.63,9.83,5.71,5.2,5.2,5.19,1.18,7.88,139.45,2.44,5430409673.0,4578980239.0,0.0,0.0,39.27,4.77
66,002085,万丰奥威,21.42,10.02,1.95,3066606.0,6466303946.21,8.42,21.42,19.78,19.78,19.47,3.09,14.44,60.53,6.59,45481032878.0,45481032878.0,0.0,0.0,5.47,13.03
67,601869,长飞光纤,42.74,10.01,3.89,144653.0,597886471.0,11.22,42.74,38.38,38.86,38.85,1.68,3.56,42.4,2.8,32392864316.0,17366899540.0,0.0,0.0,49.86,42.99
68,002575,群兴玩具,9.01,10.01,0.82,568606.0,496933048.75,8.55,9.01,8.31,8.41,8.19,1.16,9.83,-421.07,7.02,5790907200.0,5210469485.0,0.0,0.0,36.93,9.34
69,000158,常山北明,27.47,10.01,2.5,2662308.0,6893259494.19,10.93,27.47,24.74,24.99,24.97,1.39,16.77,-115.75,7.89,43914001326.0,43617382711.0,0.0,0.0,-4.62,36.4
70,000032,深桑达Ａ,31.32,10.01,2.85,1374641.0,4122582064.71,14.75,31.32,27.12,28.46,28.47,1.04,21.32,-211.12,5.88,35640883209.0,20194002561.0,0.0,0.0,63.98,77.55
71,001223,欧克科技,52.64,10.01,4.79,16010.0,81605752.8,10.6,52.64,47.57,47.9,47.85,1.99,9.6,45.15,1.86,3510035200.0,878035200.0,0.0,0.0,35.92,19.99
72,002993,奥海科技,43.85,10.01,3.99,81416.0,349774134.61,7.7,43.85,40.78,40.82,39.86,1.18,3.42,30.21,2.53,12104354000.0,10433077025.0,0.0,0.0,27.58,6.95
73,002580,圣阳股份,11.65,10.01,1.06,817428.0,942603510.43,7.08,11.65,10.9,11.01,10.59,1.71,18.07,23.85,2.45,5287573768.0,5269747020.0,0.0,0.0,33.14,37.38
74,002765,蓝黛科技,12.31,10.01,1.12,892282.0,1073166387.39,9.56,12.31,11.24,11.25,11.19,1.24,14.97,58.1,3.28,8027696788.0,7335176811.0,0.0,0.0,36.02,43.98
75,600602,云赛智联,26.71,10.01,2.43,142836.0,381515650.0,0.0,26.71,26.71,26.71,24.28,0.06,1.33,173.48,7.76,36530557983.0,28694632863.0,0.0,0.0,69.59,68.84
76,003022,联泓新科,15.61,10.01,1.42,284278.0,433080896.32,10.36,15.61,14.14,14.23,14.19,4.44,2.13,87.68,2.9,20848216480.0,20848216480.0,0.0,0.0,-5.68,13.36
77,603275,众辰科技,48.04,10.01,4.37,65506.0,312034259.0,5.01,48.04,45.85,45.85,43.67,1.19,15.53,33.29,2.59,7146999722.0,2026925923.0,0.0,0.0,40.76,41.13
78,002401,中远海科,18.69,10.01,1.7,588241.0,1079470369.51,9.89,18.69,17.01,17.2,16.99,4.71,15.84,36.7,4.13,6946483144.0,6940792039.0,0.0,0.0,5.3,17.7
79,000880,潍柴重机,28.81,10.0,2.62,153387.0,434005408.09,8.82,28.81,26.5,26.86,26.19,0.56,9.46,49.56,4.73,9545346486.0,4671887220.0,0.0,0.0,125.96,66.82
80,605319,无锡振华,30.57,10.0,2.78,111601.0,339282614.0,9.25,30.57,28.0,28.0,27.79,3.7,5.22,22.89,3.31,7644382592.0,6532245992.0,0.0,0.0,47.75,45.23
81,001309,德明利,147.15,10.0,13.38,120856.0,1767758306.25,5.01,147.15,140.45,141.88,133.77,1.59,13.79,42.34,9.41,23804848685.0,12895659914.0,0.0,0.0,82.34,68.75
82,605287,德才股份,13.2,10.0,1.2,88052.0,112589086.0,10.08,13.2,11.99,12.0,12.0,4.31,6.29,17.67,0.97,1848000000.0,1848000000.0,0.0,0.0,-4.28,8.64
83,603662,柯力传感,86.35,10.0,7.85,284962.0,2400517791.0,11.91,86.35,77.0,78.0,78.5,1.17,10.15,95.69,9.33,24321291435.0,24249659102.0,0.0,0.0,88.54,33.67
84,603359,东珠生态,5.06,10.0,0.46,419389.0,208097492.0,8.91,5.06,4.65,4.65,4.6,4.62,9.4,129.31,0.68,2257245760.0,2257245760.0,0.0,0.0,-7.5,-8.5
85,603115,海星股份,15.29,10.0,1.39,56259.0,84081010.0,10.72,15.29,13.8,13.9,13.9,2.76,2.35,26.36,1.85,3657368000.0,3657368000.0,0.0,0.0,11.93,18.44
86,600984,建设机械,3.63,10.0,0.33,206894.0,73670069.0,9.7,3.63,3.31,3.31,3.3,1.29,1.65,-5.45,0.98,4563069448.0,4563069448.0,0.0,0.0,4.01,13.79
87,600811,东方集团,2.31,10.0,0.21,3332957.0,761412768.0,9.52,2.31,2.11,2.11,2.1,1.18,9.11,48.3,0.5,8451700800.0,8451700800.0,0.0,0.0,-28.48,10.53
88,600651,飞乐音响,4.95,10.0,0.45,301152.0,146601793.0,9.11,4.95,4.54,4.59,4.5,1.16,1.2,367.58,5.08,12409788674.0,12409788674.0,0.0,0.0,9.03,19.57
89,600509,天富能源,6.49,10.0,0.59,604945.0,375920535.0,9.83,6.49,5.91,5.92,5.9,2.56,4.4,13.55,1.16,8919839171.0,8919839171.0,0.0,0.0,-3.99,0.31
90,002757,南兴股份,24.53,10.0,2.23,733283.0,1751995772.47,13.36,24.53,21.55,22.08,22.3,0.9,26.0,26.23,3.04,7247533546.0,6918782682.0,0.0,0.0,29.11,57.95
91,002427,尤夫股份,4.18,10.0,0.38,132722.0,54713920.48,8.95,4.18,3.84,3.84,3.8,0.59,1.35,-88.85,4.47,4119109008.0,4119083547.0,0.0,0.0,1.95,20.11
92,002335,科华数据,52.14,10.0,4.74,692454.0,3540623249.76,8.71,52.14,48.01,48.01,47.4,1.2,17.28,75.82,5.21,24066388273.0,20899317182.0,0.0,0.0,113.08,80.29
93,002307,北新路桥,4.29,10.0,0.39,1023236.0,425392415.76,8.97,4.29,3.94,3.96,3.9,1.47,9.38,812.8,1.58,5440970887.0,4680521776.0,0.0,0.0,6.19,15.95
94,002034,旺能环境,16.5,10.0,1.5,150064.0,246074616.12,4.67,16.5,15.8,16.1,15.0,5.04,3.54,10.3,1.05,7032509798.0,6996972296.0,0.0,0.0,5.1,6.45
95,002290,禾盛新材,26.52,10.0,2.41,470922.0,1207716957.84,9.42,26.52,24.25,24.6,24.11,2.6,19.05,57.51,8.3,6579938992.0,6557065492.0,0.0,0.0,50.25,55.09
96,002760,凤形股份,19.04,9.99,1.73,51657.0,95339805.0,11.79,19.04,17.0,17.3,17.31,1.74,4.78,107.97,2.32,2056104962.0,2056104962.0,0.0,0.0,-8.37,12.0
97,002599,盛通股份,13.43,9.99,1.22,687933.0,906015225.94,7.13,13.43,12.56,12.56,12.21,0.79,17.07,11973.73,5.0,7219789609.0,5411130534.0,0.0,0.0,79.55,80.75
98,002883,中设股份,12.33,9.99,1.12,192661.0,235418011.58,9.1,12.33,11.31,11.4,11.21,1.7,14.14,75.42,2.8,1925417857.0,1680076195.0,0.0,0.0,12.3,21.0
99,600797,浙大网新,11.67,9.99,1.06,3045592.0,3306096099.0,14.8,11.67,10.1,10.29,10.61,1.22,29.64,-181.36,3.66,11991241280.0,11991241280.0,0.0,0.0,61.41,62.53
100,600825,新华传媒,8.15,9.99,0.74,104924.0,85513060.0,0.0,8.15,8.15,8.15,7.41,0.24,1.0,652.23,3.45,8515835978.0,8515835978.0,0.0,0.0,28.35,24.43
101,605100,华丰股份,17.3,9.98,1.57,119330.0,206092450.0,3.43,17.3,16.76,17.3,15.73,2.58,7.02,42.32,1.63,2960583600.0,2939823600.0,0.0,0.0,13.97,15.49
102,300842,帝科股份,51.24,9.98,4.65,162481.0,811639394.41,9.94,51.59,46.96,46.99,46.59,2.47,12.99,18.46,4.59,7209468000.0,6410258454.0,-0.1,-0.23,3.52,24.91
103,000096,广聚能源,16.75,9.98,1.52,228237.0,369328991.75,12.8,16.75,14.8,14.8,15.23,1.12,4.47,99.13,3.21,8844000000.0,8556704000.0,0.0,0.0,29.34,36.62
104,002080,中材科技,14.66,9.98,1.33,637468.0,927660563.87,8.33,14.66,13.55,13.71,13.33,2.72,3.8,30.33,1.35,24601291741.0,24601291741.0,0.0,0.0,10.31,12.08
105,600100,同方股份,9.48,9.98,0.86,2242666.0,2102157970.0,4.99,9.48,9.05,9.19,8.62,1.42,6.69,319.05,2.1,31760822319.0,31760822319.0,0.0,0.0,25.4,33.33
106,605208,永茂泰,9.26,9.98,0.84,213163.0,196061417.0,7.6,9.26,8.62,8.79,8.42,1.18,6.46,63.75,1.45,3055244400.0,3055244400.0,0.0,0.0,23.14,20.1
107,002536,飞龙股份,16.87,9.97,1.53,600615.0,991779790.92,8.28,16.87,15.6,15.6,15.34,0.91,11.19,27.27,2.96,9696637931.0,9051277784.0,0.0,0.0,50.49,45.68
108,600841,动力新科,5.52,9.96,0.5,325429.0,173335601.0,10.36,5.52,5.0,5.02,5.02,3.22,3.54,-4.55,1.8,7660776248.0,5079195531.0,0.0,0.0,0.55,8.88
109,600821,金开新能,6.3,9.95,0.57,1754730.0,1080852293.0,8.9,6.3,5.79,5.95,5.73,4.71,8.79,12.64,1.37,12582759754.0,12582759754.0,0.0,0.0,10.92,16.67
110,000930,中粮科技,5.86,9.94,0.53,625323.0,356990920.02,7.69,5.86,5.45,5.46,5.33,5.55,3.37,850.96,1.04,10897974987.0,10877515383.0,0.0,0.0,-1.35,5.59
111,000573,粤宏远Ａ,4.44,9.9,0.4,1264016.0,546863064.44,9.65,4.44,4.05,4.05,4.04,2.62,19.97,-54.83,1.78,2833965882.0,2810363796.0,0.0,0.0,37.89,48.49
112,832491,奥迪威,39.39,9.84,3.53,263129.0,1032716835.48,20.38,42.88,35.57,36.22,35.86,1.24,23.05,61.79,5.69,5559833428.0,4496288814.0,0.03,1.47,45.35,83.21
113,688582,芯动联科,70.08,9.71,6.2,165005.0,1130931065.0,12.51,73.17,65.18,66.05,63.88,2.33,6.68,127.39,12.12,28074496512.0,17301210240.0,0.0,0.46,41.66,39.3
114,301160,翔楼新材,87.97,9.62,7.72,76733.0,665771184.76,14.77,91.86,80.01,80.55,80.25,1.55,17.37,38.52,4.51,7130260033.0,3886353351.0,0.08,0.09,56.98,58.22
115,300503,昊志机电,30.0,9.57,2.62,650358.0,1876143379.84,22.13,32.06,26.0,27.28,27.38,1.34,27.2,85.19,7.74,9182185080.0,7172619060.0,0.17,-0.2,58.81,58.56
116,301220,亚香股份,81.15,9.56,7.08,94970.0,727508882.87,21.51,86.0,70.07,72.08,74.07,1.15,20.16,108.94,4.05,6556920000.0,3822976419.0,-0.01,0.71,119.15,119.21
117,688071,华依科技,45.0,9.46,3.89,104010.0,475367098.0,20.02,49.33,41.1,43.0,41.11,3.17,12.27,-97.4,3.8,3815537580.0,3815537580.0,0.0,0.74,78.22,66.98
118,688272,富吉瑞,34.75,9.38,2.98,44307.0,147842803.0,19.77,36.18,29.9,31.48,31.77,0.81,5.83,180.53,5.26,2641000000.0,2641000000.0,1.08,-0.29,91.88,112.28
119,834033,康普化学,22.62,9.33,1.93,33878.0,74488657.63,6.33,22.65,21.34,21.69,20.69,3.38,4.05,25.5,3.75,2694839355.0,1892688915.0,0.09,0.18,-15.88,20.26
120,430047,诺思兰德,14.1,9.3,1.2,82624.0,115428784.41,14.19,15.0,13.17,13.3,12.9,3.12,4.59,-64.2,11.67,3867234833.0,2539500621.0,0.14,-0.21,-8.74,22.29
121,002126,银轮股份,33.0,9.09,2.75,938912.0,3065523038.77,6.58,33.28,31.29,32.71,30.25,2.34,11.98,34.19,4.54,27541821648.0,25873199847.0,-0.15,0.67,75.44,76.28
122,300990,同飞股份,55.19,9.07,4.59,88874.0,468141757.4,15.95,57.2,49.13,49.2,50.6,1.54,11.48,100.29,5.29,9349124187.0,4270815785.0,-0.18,-0.33,59.05,34.28
123,688535,华海诚科,98.43,8.87,8.02,75442.0,736231196.0,12.94,102.28,90.58,92.01,90.41,1.61,14.66,170.61,7.71,7942951869.0,5063883720.0,-0.01,-0.04,6.06,32.39
124,300391,长药控股,5.19,8.81,0.42,402256.0,202206465.77,11.53,5.3,4.75,4.78,4.77,2.27,11.48,-7.54,128.49,1818244421.0,1818244421.0,-0.19,0.19,-25.64,2.98
125,839273,一致魔芋,27.15,8.73,2.18,35454.0,91837822.37,8.61,27.15,25.0,25.52,24.97,2.13,7.32,17.32,3.19,2002421100.0,1315346910.0,0.74,1.61,7.52,29.66
126,688333,铂力特,64.0,8.7,5.12,153054.0,971882846.0,20.55,70.0,57.9,58.89,58.88,1.84,5.63,488.75,3.61,17393164544.0,17393164544.0,0.28,0.14,37.99,62.31
127,300583,赛托生物,26.9,8.69,2.15,112029.0,292224521.4,11.52,27.15,24.3,24.51,24.75,1.77,6.02,260.09,2.63,5102987189.0,5007406109.0,-0.07,0.04,8.86,37.6
128,300411,金盾股份,15.07,8.65,1.2,647274.0,976964759.0,15.5,16.2,14.05,14.18,13.87,3.11,21.13,222.23,6.42,6126256505.0,4617452144.0,0.13,0.07,-2.96,14.25
129,000581,威孚高科,21.35,8.6,1.69,747541.0,1594308937.38,5.09,21.63,20.63,20.65,19.66,5.02,9.07,12.5,1.09,21285657356.0,17588132519.0,0.19,-0.33,15.91,13.08
130,300992,泰福泵业,25.28,8.59,2.0,63270.0,154338486.26,10.05,25.29,22.95,23.44,23.28,2.45,8.16,92.87,2.9,2423483683.0,1960038083.0,0.0,0.2,17.86,-5.67
131,603809,豪能股份,18.3,8.54,1.44,769639.0,1381988279.0,10.26,18.55,16.82,17.13,16.86,2.1,12.0,36.16,4.15,11733969205.0,11733969205.0,0.0,0.99,50.99,57.35
132,300511,雪榕生物,3.86,8.43,0.3,644237.0,251166851.73,13.48,4.17,3.69,3.69,3.56,3.94,15.41,-8.82,1.46,1925443957.0,1613605851.0,-0.26,-0.26,-3.74,11.24
133,300808,久量股份,28.57,8.34,2.2,61374.0,170772917.74,10.66,28.92,26.11,26.4,26.37,3.6,5.83,-218.77,4.53,4571200000.0,3005547944.0,0.14,0.25,12.84,24.38
134,688573,信宇人,21.66,8.3,1.66,130476.0,267912270.0,18.8,22.66,18.9,19.6,20.0,2.03,25.87,-22.74,2.56,2117360044.0,1092476662.0,-0.05,0.93,6.75,38.94
135,300823,建科智能,16.57,8.16,1.25,221333.0,359605818.94,18.99,18.0,15.09,15.23,15.32,1.44,29.09,52.31,2.28,2170383786.0,1260674117.0,0.06,0.24,3.5,27.36
136,300203,聚光科技,19.11,8.15,1.44,369843.0,693561108.77,8.77,19.26,17.71,17.71,17.67,2.51,8.25,54.67,2.83,8575375536.0,8568322513.0,-0.1,0.31,9.01,25.48
137,300403,汉宇集团,16.65,8.05,1.24,1213658.0,1993951534.45,14.47,17.83,15.6,15.77,15.41,1.23,28.7,42.92,5.0,10039950000.0,7041942908.0,-0.18,0.85,74.71,67.34
